vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-7.541551e-006
-9.500000000000000e-001	-7.540372e-006
-8.999999999999999e-001	-7.539039e-006
-8.499999999999999e-001	-7.537304e-006
-7.999999999999998e-001	-7.534212e-006
-7.499999999999998e-001	-7.526191e-006
-6.999999999999997e-001	-7.501867e-006
-6.499999999999997e-001	-7.437101e-006
-5.999999999999996e-001	-7.304232e-006
-5.499999999999996e-001	-7.086785e-006
-4.999999999999996e-001	-6.779803e-006
-4.499999999999996e-001	-6.383986e-006
-3.999999999999996e-001	-5.902370e-006
-3.499999999999996e-001	-5.338830e-006
-2.999999999999997e-001	-4.698653e-006
-2.499999999999997e-001	-3.988872e-006
-1.999999999999997e-001	-3.219978e-006
-1.499999999999997e-001	-2.406427e-006
-9.999999999999969e-002	-1.562783e-006
-4.999999999999968e-002	-7.009367e-007
3.191891195797325e-016	1.692223e-007
5.000000000000032e-002	1.038493e-006
1.000000000000003e-001	1.897688e-006
1.500000000000003e-001	2.736962e-006
2.000000000000003e-001	3.544517e-006
2.500000000000003e-001	4.305964e-006
3.000000000000003e-001	5.007108e-006
3.500000000000003e-001	5.637758e-006
4.000000000000003e-001	6.191186e-006
4.500000000000003e-001	6.662457e-006
5.000000000000003e-001	7.047989e-006
5.500000000000004e-001	7.345396e-006
6.000000000000004e-001	7.554429e-006
6.500000000000005e-001	7.680855e-006
7.000000000000005e-001	7.741723e-006
7.500000000000006e-001	7.764370e-006
8.000000000000006e-001	7.771874e-006
8.500000000000006e-001	7.774841e-006
9.000000000000007e-001	7.776554e-006
9.500000000000007e-001	7.777891e-006
1.000000000000000e+000	7.779082e-006
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-7.539214e-006
-9.500000000000000e-001	-7.537906e-006
-8.999999999999999e-001	-7.536489e-006
-8.499999999999999e-001	-7.534841e-006
-7.999999999999998e-001	-7.532481e-006
-7.499999999999998e-001	-7.527436e-006
-6.999999999999997e-001	-7.512228e-006
-6.499999999999997e-001	-7.465936e-006
-5.999999999999996e-001	-7.355783e-006
-5.499999999999996e-001	-7.156518e-006
-4.999999999999996e-001	-6.858537e-006
-4.499999999999996e-001	-6.461770e-006
-3.999999999999996e-001	-5.970610e-006
-3.499999999999996e-001	-5.391568e-006
-2.999999999999997e-001	-4.733216e-006
-2.499999999999997e-001	-4.007382e-006
-1.999999999999997e-001	-3.228547e-006
-1.499999999999997e-001	-2.410584e-006
-9.999999999999969e-002	-1.565081e-006
-4.999999999999968e-002	-7.020557e-007
3.191891195797325e-016	1.691555e-007
5.000000000000032e-002	1.039476e-006
1.000000000000003e-001	1.899841e-006
1.500000000000003e-001	2.740954e-006
2.000000000000003e-001	3.552871e-006
2.500000000000003e-001	4.324126e-006
3.000000000000003e-001	5.041049e-006
3.500000000000003e-001	5.689463e-006
4.000000000000003e-001	6.257896e-006
4.500000000000003e-001	6.738185e-006
5.000000000000003e-001	7.124279e-006
5.500000000000004e-001	7.412400e-006
6.000000000000004e-001	7.603393e-006
6.500000000000005e-001	7.707743e-006
7.000000000000005e-001	7.751050e-006
7.500000000000006e-001	7.765221e-006
8.000000000000006e-001	7.770004e-006
8.500000000000006e-001	7.772313e-006
9.000000000000007e-001	7.773961e-006
9.500000000000007e-001	7.775390e-006
1.000000000000000e+000	7.776710e-006
