vdm	I(I)
Step Information: Vcm=0  (Run: 1/501)
-4.000000000000000e-001	-9.459329e-007
-3.500000000000000e-001	-9.448739e-007
-3.000000000000000e-001	-9.407269e-007
-2.500000000000001e-001	-9.215982e-007
-2.000000000000001e-001	-8.560013e-007
-1.500000000000001e-001	-7.154808e-007
-1.000000000000001e-001	-5.036352e-007
-5.000000000000007e-002	-2.423382e-007
-6.938893903907228e-017	4.309770e-008
4.999999999999993e-002	3.275947e-007
9.999999999999994e-002	5.861972e-007
1.499999999999999e-001	7.940455e-007
2.000000000000000e-001	9.303049e-007
2.499999999999999e-001	9.929576e-007
2.999999999999999e-001	1.010999e-006
3.499999999999999e-001	1.014923e-006
4.000000000000000e-001	1.015961e-006
Step Information: Vcm=10m  (Run: 2/501)
-4.000000000000000e-001	-9.457721e-007
-3.500000000000000e-001	-9.447137e-007
-3.000000000000000e-001	-9.405733e-007
-2.500000000000001e-001	-9.214750e-007
-2.000000000000001e-001	-8.559470e-007
-1.500000000000001e-001	-7.154925e-007
-1.000000000000001e-001	-5.036746e-007
-5.000000000000007e-002	-2.423700e-007
-6.938893903907228e-017	4.309229e-008
4.999999999999993e-002	3.276153e-007
9.999999999999994e-002	5.862245e-007
1.499999999999999e-001	7.940442e-007
2.000000000000000e-001	9.302379e-007
2.499999999999999e-001	9.928239e-007
2.999999999999999e-001	1.010836e-006
3.499999999999999e-001	1.014755e-006
4.000000000000000e-001	1.015792e-006
Step Information: Vcm=20m  (Run: 3/501)
-4.000000000000000e-001	-9.456110e-007
-3.500000000000000e-001	-9.445533e-007
-3.000000000000000e-001	-9.404193e-007
-2.500000000000001e-001	-9.213515e-007
-2.000000000000001e-001	-8.558922e-007
-1.500000000000001e-001	-7.155036e-007
-1.000000000000001e-001	-5.037136e-007
-5.000000000000007e-002	-2.424015e-007
-6.938893903907228e-017	4.308688e-008
4.999999999999993e-002	3.276356e-007
9.999999999999994e-002	5.862514e-007
1.499999999999999e-001	7.940423e-007
2.000000000000000e-001	9.301705e-007
2.499999999999999e-001	9.926898e-007
2.999999999999999e-001	1.010673e-006
3.499999999999999e-001	1.014586e-006
4.000000000000000e-001	1.015622e-006
Step Information: Vcm=30m  (Run: 4/501)
-4.000000000000000e-001	-9.454498e-007
-3.500000000000000e-001	-9.443928e-007
-3.000000000000000e-001	-9.402652e-007
-2.500000000000001e-001	-9.212276e-007
-2.000000000000001e-001	-8.558368e-007
-1.500000000000001e-001	-7.155143e-007
-1.000000000000001e-001	-5.037522e-007
-5.000000000000007e-002	-2.424328e-007
-6.938893903907228e-017	4.308146e-008
4.999999999999993e-002	3.276557e-007
9.999999999999994e-002	5.862778e-007
1.499999999999999e-001	7.940399e-007
2.000000000000000e-001	9.301025e-007
2.499999999999999e-001	9.925554e-007
2.999999999999999e-001	1.010510e-006
3.499999999999999e-001	1.014417e-006
4.000000000000000e-001	1.015453e-006
Step Information: Vcm=40m  (Run: 5/501)
-4.000000000000000e-001	-9.452883e-007
-3.500000000000000e-001	-9.442320e-007
-3.000000000000000e-001	-9.401107e-007
-2.500000000000001e-001	-9.211033e-007
-2.000000000000001e-001	-8.557810e-007
-1.500000000000001e-001	-7.155243e-007
-1.000000000000001e-001	-5.037904e-007
-5.000000000000007e-002	-2.424639e-007
-6.938893903907228e-017	4.307603e-008
4.999999999999993e-002	3.276755e-007
9.999999999999994e-002	5.863038e-007
1.499999999999999e-001	7.940369e-007
2.000000000000000e-001	9.300340e-007
2.499999999999999e-001	9.924207e-007
2.999999999999999e-001	1.010347e-006
3.499999999999999e-001	1.014248e-006
4.000000000000000e-001	1.015283e-006
Step Information: Vcm=50m  (Run: 6/501)
-4.000000000000000e-001	-9.451267e-007
-3.500000000000000e-001	-9.440710e-007
-3.000000000000000e-001	-9.399561e-007
-2.500000000000001e-001	-9.209787e-007
-2.000000000000001e-001	-8.557246e-007
-1.500000000000001e-001	-7.155339e-007
-1.000000000000001e-001	-5.038281e-007
-5.000000000000007e-002	-2.424947e-007
-6.938893903907228e-017	4.307060e-008
