vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-1.012557e-008
-9.500000000000000e-001	-5.878634e-009
-8.999999999999999e-001	-3.554824e-009
-8.499999999999999e-001	-2.295664e-009
-7.999999999999998e-001	-1.616301e-009
-7.499999999999998e-001	-1.250003e-009
-6.999999999999997e-001	-1.052158e-009
-6.499999999999997e-001	-9.449129e-010
-5.999999999999996e-001	-8.864580e-010
-5.499999999999996e-001	-8.543394e-010
-4.999999999999996e-001	-8.364773e-010
-4.499999999999996e-001	-8.263569e-010
-3.999999999999996e-001	-8.204532e-010
-3.499999999999996e-001	-8.168505e-010
-2.999999999999997e-001	-8.144859e-010
-2.499999999999997e-001	-8.126547e-010
-1.999999999999997e-001	-8.102268e-010
-1.499999999999997e-001	-8.021640e-010
-9.999999999999969e-002	-7.604049e-010
-4.999999999999968e-002	-5.516710e-010
3.191891195797325e-016	7.495259e-011
5.000000000000032e-002	7.020112e-010
1.000000000000003e-001	9.114130e-010
1.500000000000003e-001	9.535238e-010
2.000000000000003e-001	9.617497e-010
2.500000000000003e-001	9.642729e-010
3.000000000000003e-001	9.661475e-010
3.500000000000003e-001	9.684730e-010
4.000000000000003e-001	9.718845e-010
4.500000000000003e-001	9.773096e-010
5.000000000000003e-001	9.864062e-010
5.500000000000004e-001	1.002212e-009
6.000000000000004e-001	1.030324e-009
6.500000000000005e-001	1.081097e-009
7.000000000000005e-001	1.173743e-009
7.500000000000006e-001	1.343994e-009
8.000000000000006e-001	1.658387e-009
8.500000000000006e-001	2.240694e-009
9.000000000000007e-001	3.320055e-009
9.500000000000007e-001	5.315904e-009
1.000000000000000e+000	8.979412e-009
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-3.106546e-008
-9.500000000000000e-001	-1.774898e-008
-8.999999999999999e-001	-1.012275e-008
-8.499999999999999e-001	-5.875747e-009
-7.999999999999998e-001	-3.551919e-009
-7.499999999999998e-001	-2.292750e-009
-6.999999999999997e-001	-1.613379e-009
-6.499999999999997e-001	-1.247075e-009
-5.999999999999996e-001	-1.049225e-009
-5.499999999999996e-001	-9.419742e-010
-4.999999999999996e-001	-8.835139e-010
-4.499999999999996e-001	-8.513896e-010
-3.999999999999996e-001	-8.335208e-010
-3.499999999999996e-001	-8.233884e-010
-2.999999999999997e-001	-8.174448e-010
-2.499999999999997e-001	-8.136402e-010
-1.999999999999997e-001	-8.101141e-010
-1.499999999999997e-001	-8.014322e-010
-9.999999999999969e-002	-7.593431e-010
-4.999999999999968e-002	-5.506952e-010
3.191891195797325e-016	7.479671e-011
5.000000000000032e-002	7.007183e-010
1.000000000000003e-001	9.100169e-010
1.500000000000003e-001	9.524235e-010
2.000000000000003e-001	9.612032e-010
2.500000000000003e-001	9.647017e-010
3.000000000000003e-001	9.683182e-010
3.500000000000003e-001	9.737848e-010
4.000000000000003e-001	9.828944e-010
4.500000000000003e-001	9.987079e-010
5.000000000000003e-001	1.026827e-009
5.500000000000004e-001	1.077606e-009
6.000000000000004e-001	1.170259e-009
6.500000000000005e-001	1.340516e-009
7.000000000000005e-001	1.654917e-009
7.500000000000006e-001	2.237236e-009
8.000000000000006e-001	3.316612e-009
8.500000000000006e-001	5.312483e-009
9.000000000000007e-001	8.976024e-009
9.500000000000007e-001	1.560202e-008
1.000000000000000e+000	2.728698e-008
Step Information: Vcm=100m  (Run: 3/101)
-1.000000000000000e+000	-8.891104e-008
-9.500000000000000e-001	-5.339452e-008
-8.999999999999999e-001	-3.106268e-008
-8.499999999999999e-001	-1.774611e-008
-7.999999999999998e-001	-1.011985e-008
-7.499999999999998e-001	-5.872833e-009
-6.999999999999997e-001	-3.548994e-009
-6.499999999999997e-001	-2.289816e-009
-5.999999999999996e-001	-1.610438e-009
-5.499999999999996e-001	-1.244127e-009
-4.999999999999996e-001	-1.046270e-009
-4.499999999999996e-001	-9.390125e-010
-3.999999999999996e-001	-8.805433e-010
-3.499999999999996e-001	-8.484036e-010
-2.999999999999997e-001	-8.304893e-010
-2.499999999999997e-001	-8.201453e-010
-1.999999999999997e-001	-8.130232e-010
-1.499999999999997e-001	-8.023398e-010
-9.999999999999969e-002	-7.591340e-010
-4.999999999999968e-002	-5.500910e-010
3.191891195797325e-016	7.460991e-011
5.000000000000032e-002	6.997225e-010
1.000000000000003e-001	9.093584e-010
1.500000000000003e-001	9.527642e-010
2.000000000000003e-001	9.633176e-010
2.500000000000003e-001	9.699761e-010
3.000000000000003e-001	9.793018e-010
3.500000000000003e-001	9.951628e-010
4.000000000000003e-001	1.023299e-009
4.500000000000003e-001	1.074089e-009
5.000000000000003e-001	1.166749e-009
5.500000000000004e-001	1.337015e-009
6.000000000000004e-001	1.651425e-009
6.500000000000005e-001	2.233755e-009
7.000000000000005e-001	3.313146e-009
7.500000000000006e-001	5.309040e-009
8.000000000000006e-001	8.972615e-009
8.500000000000006e-001	1.559866e-008
9.000000000000007e-001	2.728368e-008
9.500000000000007e-001	4.711130e-008
1.000000000000000e+000	7.903856e-008
Step Information: Vcm=150m  (Run: 4/101)
-1.000000000000000e+000	-2.164320e-007
-9.500000000000000e-001	-1.419984e-007
-8.999999999999999e-001	-8.890836e-008
-8.499999999999999e-001	-5.339172e-008
-7.999999999999998e-001	-3.105982e-008
-7.499999999999998e-001	-1.774322e-008
-6.999999999999997e-001	-1.011693e-008
-6.499999999999997e-001	-5.869899e-009
-5.999999999999996e-001	-3.546047e-009
-5.499999999999996e-001	-2.286860e-009
-4.999999999999996e-001	-1.607472e-009
-4.499999999999996e-001	-1.241150e-009
-3.999999999999996e-001	-1.043278e-009
-3.499999999999996e-001	-9.359947e-010
-2.999999999999997e-001	-8.774636e-010
-2.499999999999997e-001	-8.450839e-010
-1.999999999999997e-001	-8.259414e-010
-1.499999999999997e-001	-8.086323e-010
-9.999999999999969e-002	-7.617069e-010
-4.999999999999968e-002	-5.506994e-010
3.191891195797325e-016	7.432376e-011
5.000000000000032e-002	6.996963e-010
1.000000000000003e-001	9.110944e-010
1.500000000000003e-001	9.577997e-010
2.000000000000003e-001	9.741586e-010
2.500000000000003e-001	9.912675e-010
3.000000000000003e-001	1.019651e-009
3.500000000000003e-001	1.070507e-009
4.000000000000003e-001	1.163196e-009
4.500000000000003e-001	1.333479e-009
5.000000000000003e-001	1.647904e-009
5.500000000000004e-001	2.230248e-009
6.000000000000004e-001	3.309656e-009
6.500000000000005e-001	5.305574e-009
7.000000000000005e-001	8.969183e-009
7.500000000000006e-001	1.559527e-008
8.000000000000006e-001	2.728036e-008
8.500000000000006e-001	4.710806e-008
9.000000000000007e-001	7.903541e-008
9.500000000000007e-001	1.273288e-007
1.000000000000000e+000	1.957511e-007
Step Information: Vcm=200m  (Run: 5/101)
-1.000000000000000e+000	-4.382423e-007
-9.500000000000000e-001	-3.147692e-007
-8.999999999999999e-001	-2.164295e-007
-8.499999999999999e-001	-1.419957e-007
-7.999999999999998e-001	-8.890560e-008
-7.499999999999998e-001	-5.338889e-008
-6.999999999999997e-001	-3.105693e-008
-6.499999999999997e-001	-1.774030e-008
-5.999999999999996e-001	-1.011399e-008
-5.499999999999996e-001	-5.866935e-009
-4.999999999999996e-001	-3.543064e-009
-4.499999999999996e-001	-2.283853e-009
-3.999999999999996e-001	-1.604433e-009
-3.499999999999996e-001	-1.238057e-009
-2.999999999999997e-001	-1.040074e-009
-2.499999999999997e-001	-9.324644e-010
-1.999999999999997e-001	-8.725525e-010
-1.499999999999997e-001	-8.329371e-010
-9.999999999999969e-002	-7.735334e-010
-4.999999999999968e-002	-5.553318e-010
3.191891195797325e-016	7.369807e-011
5.000000000000032e-002	7.028532e-010
1.000000000000003e-001	9.207143e-010
1.500000000000003e-001	9.783798e-010
2.000000000000003e-001	1.014100e-009
2.500000000000003e-001	1.066375e-009
3.000000000000003e-001	1.159408e-009
3.500000000000003e-001	1.329814e-009
4.000000000000003e-001	1.644299e-009
4.500000000000003e-001	2.226683e-009
5.000000000000003e-001	3.306123e-009
5.500000000000004e-001	5.302073e-009
6.000000000000004e-001	8.965721e-009
6.500000000000005e-001	1.559186e-008
7.000000000000005e-001	2.727701e-008
7.500000000000006e-001	4.710479e-008
8.000000000000006e-001	7.903224e-008
8.500000000000006e-001	1.273257e-007
9.000000000000007e-001	1.957482e-007
9.500000000000007e-001	2.869465e-007
1.000000000000000e+000	4.022814e-007
Step Information: Vcm=250m  (Run: 6/101)
-1.000000000000000e+000	-7.601720e-007
-9.500000000000000e-001	-5.869460e-007
-8.999999999999999e-001	-4.382401e-007
-8.499999999999999e-001	-3.147668e-007
