vdm	I(I)
Step Information: Vcm=0  (Run: 1/101)
-1.000000000000000e+000	-1.008401e-005
-9.500000000000000e-001	-9.870721e-006
-8.999999999999999e-001	-9.619193e-006
-8.499999999999999e-001	-9.330227e-006
-7.999999999999998e-001	-9.004850e-006
-7.499999999999998e-001	-8.644278e-006
-6.999999999999997e-001	-8.249648e-006
-6.499999999999997e-001	-7.822013e-006
-5.999999999999996e-001	-7.362289e-006
-5.499999999999996e-001	-6.871276e-006
-4.999999999999996e-001	-6.349685e-006
-4.499999999999996e-001	-5.798212e-006
-3.999999999999996e-001	-5.217664e-006
-3.499999999999996e-001	-4.609163e-006
-2.999999999999997e-001	-3.974355e-006
-2.499999999999997e-001	-3.315472e-006
-1.999999999999997e-001	-2.635461e-006
-1.499999999999997e-001	-1.938595e-006
-9.999999999999969e-002	-1.230230e-006
-4.999999999999968e-002	-5.153063e-007
3.191891195797325e-016	2.023501e-007
5.000000000000032e-002	9.195662e-007
1.000000000000003e-001	1.633173e-006
1.500000000000003e-001	2.339357e-006
2.000000000000003e-001	3.033208e-006
2.500000000000003e-001	3.709423e-006
3.000000000000003e-001	4.363792e-006
3.500000000000003e-001	4.993429e-006
4.000000000000003e-001	5.596174e-006
4.500000000000003e-001	6.170445e-006
5.000000000000003e-001	6.715184e-006
5.500000000000004e-001	7.229645e-006
6.000000000000004e-001	7.713193e-006
6.500000000000005e-001	8.165174e-006
7.000000000000005e-001	8.584853e-006
7.500000000000006e-001	8.971374e-006
8.000000000000006e-001	9.323759e-006
8.500000000000006e-001	9.640924e-006
9.000000000000007e-001	9.921749e-006
9.500000000000007e-001	1.016520e-005
1.000000000000000e+000	1.037061e-005
Step Information: Vcm=50m  (Run: 2/101)
-1.000000000000000e+000	-1.019811e-005
-9.500000000000000e-001	-9.992816e-006
-8.999999999999999e-001	-9.749089e-006
-8.499999999999999e-001	-9.466298e-006
-7.999999999999998e-001	-9.144666e-006
-7.499999999999998e-001	-8.785021e-006
-6.999999999999997e-001	-8.388361e-006
-6.499999999999997e-001	-7.955741e-006
-5.999999999999996e-001	-7.488175e-006
-5.499999999999996e-001	-6.986642e-006
-4.999999999999996e-001	-6.452143e-006
-4.499999999999996e-001	-5.885839e-006
-3.999999999999996e-001	-5.289245e-006
-3.499999999999996e-001	-4.664362e-006
-2.999999999999997e-001	-4.013702e-006
-2.499999999999997e-001	-3.340621e-006
-1.999999999999997e-001	-2.649726e-006
-1.499999999999997e-001	-1.946098e-006
-9.999999999999969e-002	-1.234059e-006
-4.999999999999968e-002	-5.169874e-007
3.191891195797325e-016	2.022771e-007
5.000000000000032e-002	9.210992e-007
1.000000000000003e-001	1.636846e-006
1.500000000000003e-001	2.346686e-006
2.000000000000003e-001	3.047256e-006
2.500000000000003e-001	3.734266e-006
3.000000000000003e-001	4.402689e-006
3.500000000000003e-001	5.047984e-006
4.000000000000003e-001	5.666863e-006
4.500000000000003e-001	6.256888e-006
5.000000000000003e-001	6.816133e-006
5.500000000000004e-001	7.343151e-006
6.000000000000004e-001	7.836851e-006
6.500000000000005e-001	8.296299e-006
7.000000000000005e-001	8.720582e-006
7.500000000000006e-001	9.108749e-006
8.000000000000006e-001	9.459808e-006
8.500000000000006e-001	9.772794e-006
9.000000000000007e-001	1.004693e-005
9.500000000000007e-001	1.028191e-005
1.000000000000000e+000	1.047844e-005
Step Information: Vcm=100m  (Run: 3/101)
-1.000000000000000e+000	-1.032569e-005
-9.500000000000000e-001	-1.011542e-005
-8.999999999999999e-001	-9.870351e-006
-8.499999999999999e-001	-9.587487e-006
-7.999999999999998e-001	-9.265556e-006
-7.499999999999998e-001	-8.904016e-006
-6.999999999999997e-001	-8.503265e-006
-6.499999999999997e-001	-8.064035e-006
-5.999999999999996e-001	-7.587358e-006
-5.499999999999996e-001	-7.074449e-006
-4.999999999999996e-001	-6.526809e-006
-4.499999999999996e-001	-5.946330e-006
-3.999999999999996e-001	-5.335340e-006
-3.499999999999996e-001	-4.696697e-006
-2.999999999999997e-001	-4.034224e-006
-2.499999999999997e-001	-3.352691e-006
-1.999999999999997e-001	-2.656790e-006
-1.499999999999997e-001	-1.950384e-006
-9.999999999999969e-002	-1.236614e-006
